access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,79899.7526,5001.2066,0.4382,131072.0000,16384.0000,0.0271,4.9140,3.6579,4.9214,96,0
write,86545.8752,5412.8273,0.3629,131072.0000,16384.0000,0.0329,4.5403,2.5739,4.5434,96,1
write,71647.3113,4480.5710,0.5690,131072.0000,16384.0000,0.0269,5.4850,3.7584,5.4882,96,2
write,83651.1770,5231.8425,0.3608,131072.0000,16384.0000,0.0243,4.6974,2.7459,4.7007,96,3
write,87530.8944,5474.5990,0.3767,131072.0000,16384.0000,0.0167,4.4891,3.0839,4.4923,96,4
