access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,48375.9686,48410.7929,0.0298,131072.0000,1024.0000,0.0170,4.7381,3.1713,4.7415,56,0
write,53188.1554,53228.8773,0.0289,131072.0000,1024.0000,0.0166,4.3092,2.5489,4.3125,56,1
write,57370.8334,57417.1626,0.0279,131072.0000,1024.0000,0.0147,3.9949,2.4152,3.9981,56,2
write,58655.1175,58702.2985,0.0273,131072.0000,1024.0000,0.0150,3.9074,2.3326,3.9106,56,3
write,58377.7110,58424.4572,0.0271,131072.0000,1024.0000,0.0141,3.9260,2.2915,3.9292,56,4
