access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1079.5663,69102.3947,0.0027,131072.0000,16.0000,0.0224,22.7614,7.8679,22.7647,32,0
write,1060.0087,67849.9374,0.0027,131072.0000,16.0000,0.0258,23.1815,7.7839,23.1847,32,1
write,1129.5401,72300.7640,0.0026,131072.0000,16.0000,0.0420,21.7545,7.8782,21.7575,32,2
write,1067.5595,68333.2529,0.0026,131072.0000,16.0000,0.0185,23.0175,8.7195,23.0207,32,3
write,1152.6807,73782.1026,0.0025,131072.0000,16.0000,0.0279,21.3177,7.9233,21.3207,32,4
