access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,171217.1954,92040.4373,0.0034,131072.0000,2048.0000,0.2738,0.5340,0.3540,0.5741,768,0
write,172455.6040,88817.2517,0.0032,131072.0000,2048.0000,0.2358,0.5534,0.3717,0.5700,768,1
write,171573.0732,94241.0966,0.0030,131072.0000,2048.0000,0.2715,0.5216,0.3422,0.5730,768,2
write,184439.3998,95813.0415,0.0034,131072.0000,2048.0000,0.2588,0.5130,0.3262,0.5330,768,3
write,182763.6747,99386.0781,0.0031,131072.0000,2048.0000,0.2577,0.4946,0.3172,0.5379,768,4
