access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,49378.1504,3160304.2909,0.0126,131072.0000,16.0000,0.0079,127.4096,31.9775,127.4138,1536,0
write,50446.6470,3228681.8903,0.0139,131072.0000,16.0000,0.0909,124.7113,15.0323,124.7150,1536,1
write,38057.5261,2435732.6269,0.0193,131072.0000,16.0000,0.0596,165.3109,11.7049,165.3144,1536,2
write,73354.7506,4694901.2669,0.0088,131072.0000,16.0000,0.0072,85.7639,15.0790,85.7675,1536,3
write,19754.1441,1264279.0227,0.0372,131072.0000,16.0000,0.0069,318.4844,27.7983,318.4879,1536,4
