access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,824.3633,825.1106,0.0145,131072.0000,1024.0000,0.0107,3.7231,2.1406,3.7265,24,0
write,6326.2970,6369.3751,0.0011,131072.0000,1024.0000,0.0123,0.4823,0.3381,0.4856,24,1
write,15594.9257,15844.0470,0.0010,131072.0000,1024.0000,0.0178,0.1939,0.0720,0.1970,24,2
write,16015.5992,16276.2755,0.0009,131072.0000,1024.0000,0.0135,0.1887,0.0744,0.1918,24,3
write,17390.1274,17701.6671,0.0009,131072.0000,1024.0000,0.0131,0.1735,0.0579,0.1767,24,4
