access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,87079.6838,5766.3339,0.0354,131072.0000,16384.0000,0.1423,0.7103,0.4626,0.7526,512,0
write,90075.1747,5868.5400,0.0471,131072.0000,16384.0000,0.1449,0.6980,0.4597,0.7276,512,1
write,93575.3940,6039.2658,0.0427,131072.0000,16384.0000,0.1419,0.6782,0.4377,0.7004,512,2
write,94678.3680,6077.2693,0.0452,131072.0000,16384.0000,0.1327,0.6740,0.4340,0.6922,512,3
write,81093.2529,5346.7756,0.0423,131072.0000,16384.0000,0.3988,0.7661,0.5278,0.8082,512,4
