access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,122934.9086,123179.4260,0.0282,131072.0000,1024.0000,0.0504,4.2563,2.6859,4.2648,128,0
write,116337.3812,116580.7980,0.0328,131072.0000,1024.0000,0.0433,4.4972,2.5354,4.5066,128,1
write,141534.0192,141660.8998,0.0258,131072.0000,1024.0000,0.0339,3.7010,2.1173,3.7043,128,2
write,137003.2830,137913.7647,0.0267,131072.0000,1024.0000,0.0463,3.8016,2.1973,3.8268,128,3
write,138825.7972,139049.0370,0.0262,131072.0000,1024.0000,0.0405,3.7705,2.1063,3.7766,128,4
