access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,10945.5471,700549.1009,0.0085,131072.0000,16.0000,0.0402,71.8460,3.6078,71.8495,192,0
write,10931.2919,699825.5385,0.0085,131072.0000,16.0000,0.0516,71.9203,4.1347,71.9432,192,1
write,10970.3800,702235.1960,0.0086,131072.0000,16.0000,0.0506,71.6735,3.8794,71.6869,192,2
write,10968.6362,702026.8511,0.0085,131072.0000,16.0000,0.0297,71.6948,3.9334,71.6982,192,3
write,10950.2308,700934.5540,0.0084,131072.0000,16.0000,0.0461,71.8065,3.8605,71.8188,192,4
