access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,62532.3252,62646.2230,0.0146,131072.0000,1024.0000,0.0071,2.0923,0.2347,2.0961,32,0
write,64700.2335,64804.1937,0.0154,131072.0000,1024.0000,0.0064,2.0226,0.0635,2.0258,32,1
write,65078.3357,65180.8337,0.0153,131072.0000,1024.0000,0.0061,2.0109,0.0821,2.0141,32,2
write,56641.5043,56723.5224,0.0176,131072.0000,1024.0000,0.0064,2.3107,0.0686,2.3141,32,3
write,62975.1150,63088.9315,0.0160,131072.0000,1024.0000,0.0068,2.0776,0.0368,2.0813,32,4
