access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,363956.5842,22853.3481,0.1634,131072.0000,16384.0000,0.0470,2.1508,0.9313,2.1608,192,0
read,398513.2578,24945.4411,0.1485,131072.0000,16384.0000,0.0352,1.9704,0.8704,1.9734,192,0
write,334043.9359,21110.7551,0.1833,131072.0000,16384.0000,0.0526,2.3283,1.0489,2.3543,192,1
read,414578.6460,25956.2900,0.1344,131072.0000,16384.0000,0.0316,1.8936,0.8337,1.8969,192,1
write,328487.6695,20697.1580,0.1984,131072.0000,16384.0000,0.0469,2.3748,0.8985,2.3941,192,2
read,385519.6768,24131.4022,0.1406,131072.0000,16384.0000,0.0432,2.0368,0.9579,2.0399,192,2
write,336985.4139,21248.9381,0.1838,131072.0000,16384.0000,0.0468,2.3132,0.9878,2.3337,192,3
read,419068.3129,26235.7808,0.1433,131072.0000,16384.0000,0.0174,1.8735,0.8214,1.8766,192,3
write,335812.9594,21064.9563,0.1844,131072.0000,16384.0000,0.0466,2.3334,1.0262,2.3419,192,4
read,429007.2257,26858.5906,0.1458,131072.0000,16384.0000,0.0285,1.8300,0.7400,1.8331,192,4
