access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,243973.4739,15285.5430,0.9791,131072.0000,16384.0000,0.1565,16.0779,8.6368,16.1172,960,0
read,276968.8324,17314.3340,0.9572,131072.0000,16384.0000,0.1204,14.1940,7.4161,14.1971,960,0
write,217301.6707,13605.9642,1.1724,131072.0000,16384.0000,0.1787,18.0627,10.4284,18.0954,960,1
read,270432.0004,16905.7800,0.9318,131072.0000,16384.0000,0.1480,14.5370,7.7732,14.5403,960,1
write,212041.6286,13280.6517,1.1679,131072.0000,16384.0000,0.2351,18.5051,10.9790,18.5443,960,2
read,271250.6974,16956.6624,0.9437,131072.0000,16384.0000,0.1294,14.4934,7.7662,14.4964,960,2
write,214402.3339,13417.3388,1.1801,131072.0000,16384.0000,0.1671,18.3166,10.6915,18.3401,960,3
read,270034.3149,16880.8113,0.9662,131072.0000,16384.0000,0.6830,14.5585,7.8205,14.5617,960,3
write,217829.8546,13616.9232,1.1684,131072.0000,16384.0000,0.1487,18.0481,10.4642,18.0515,960,4
read,278611.4819,17417.1988,0.9467,131072.0000,16384.0000,0.1297,14.1102,7.3563,14.1134,960,4
