access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,201984.7643,101369.1492,0.1064,131072.0000,2048.0000,0.1012,11.6372,4.9893,11.6806,576,0
read,293419.6314,146768.6840,0.0632,131072.0000,2048.0000,0.0765,8.0375,4.4706,8.0407,576,0
write,217602.6859,109422.2690,0.0931,131072.0000,2048.0000,0.2002,10.7807,5.2262,10.8422,576,1
read,284076.6073,142090.9153,0.0722,131072.0000,2048.0000,0.1275,8.3021,3.9943,8.3051,576,1
write,223307.3911,111939.7019,0.0902,131072.0000,2048.0000,0.1674,10.5382,4.9653,10.5652,576,2
read,316925.9114,158530.2748,0.0646,131072.0000,2048.0000,0.0851,7.4412,3.8844,7.4443,576,2
write,223800.8468,112614.8621,0.0953,131072.0000,2048.0000,0.1807,10.4751,4.9014,10.5419,576,3
read,314160.2817,157143.8793,0.0622,131072.0000,2048.0000,0.0751,7.5068,3.9794,7.5098,576,3
write,218778.9104,109898.7606,0.0902,131072.0000,2048.0000,0.1350,10.7340,5.1414,10.7839,576,4
read,302974.8429,151549.0359,0.0636,131072.0000,2048.0000,0.0989,7.7839,4.2543,7.7871,576,4
