access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,257431.3550,16136.1526,0.7537,131072.0000,16384.0000,0.1559,12.1843,6.3937,12.2197,768,0
read,303967.2078,19003.7931,0.6804,131072.0000,16384.0000,0.1018,10.3457,5.2092,10.3489,768,0
write,207533.7858,12989.6832,0.8796,131072.0000,16384.0000,0.1390,15.1357,8.8274,15.1577,768,1
read,285953.8033,17877.2150,0.6729,131072.0000,16384.0000,0.0872,10.9977,5.9919,11.0008,768,1
write,219908.2521,13760.2832,0.8826,131072.0000,16384.0000,0.1080,14.2881,7.5119,14.3047,768,2
read,305170.3492,19078.8976,0.6711,131072.0000,16384.0000,0.0804,10.3050,5.2502,10.3081,768,2
write,225170.6623,14104.4261,0.8895,131072.0000,16384.0000,0.1425,13.9395,7.1328,13.9704,768,3
read,302517.5905,18912.9334,0.6691,131072.0000,16384.0000,0.1270,10.3954,5.3298,10.3985,768,3
write,224388.6627,14030.2251,0.8959,131072.0000,16384.0000,0.1023,14.0132,7.1877,14.0191,768,4
read,311216.9535,19457.0442,0.6804,131072.0000,16384.0000,0.0937,10.1047,4.9936,10.1078,768,4
