access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,251066.6076,31470.5994,0.4890,131072.0000,8192.0000,0.1677,15.6184,8.3406,15.6618,960,0
read,283189.8792,35406.8998,0.4916,131072.0000,8192.0000,0.1724,13.8820,6.7113,13.8852,960,0
write,250004.5804,31329.2839,0.4755,131072.0000,8192.0000,0.1673,15.6888,8.3845,15.7284,960,1
read,282799.8519,35358.4368,0.4968,131072.0000,8192.0000,0.1470,13.9011,7.0139,13.9044,960,1
write,249430.9226,31256.8382,0.4813,131072.0000,8192.0000,0.2117,15.7252,8.4892,15.7645,960,2
read,285727.1774,35724.1211,0.4797,131072.0000,8192.0000,0.7019,13.7588,6.8414,13.7619,960,2
write,255999.7514,32082.1436,0.4835,131072.0000,8192.0000,0.2320,15.3207,8.0655,15.3600,960,3
read,282706.4878,35346.4098,0.4911,131072.0000,8192.0000,0.1628,13.9058,7.1228,13.9090,960,3
write,248373.6224,31234.0402,0.4958,131072.0000,8192.0000,0.2588,15.7367,8.5597,15.8316,960,4
read,284802.2791,35608.4661,0.4806,131072.0000,8192.0000,2.6731,13.8035,7.1780,13.8066,960,4
