access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,11064.9323,708359.9826,0.0168,131072.0000,16.0000,0.0909,142.1075,7.9953,142.1485,384,0
read,9979.8888,638725.1760,0.0190,131072.0000,16.0000,0.0722,157.6003,10.3386,157.6034,384,0
write,11122.2734,711841.1167,0.0167,131072.0000,16.0000,0.0855,141.4126,7.6921,141.4157,384,1
read,6665.3734,426589.3766,0.0207,131072.0000,16.0000,0.0571,235.9723,72.3509,235.9754,384,1
write,10663.3299,682547.8265,0.0173,131072.0000,16.0000,0.0664,147.4817,8.9779,147.5021,384,2
read,9992.8281,639553.1451,0.0188,131072.0000,16.0000,0.0572,157.3963,9.2725,157.3993,384,2
write,11100.1083,710497.1317,0.0164,131072.0000,16.0000,0.0871,141.6801,7.7946,141.6981,384,3
read,10049.4171,643175.6157,0.0185,131072.0000,16.0000,0.0664,156.5098,9.5608,156.5130,384,3
write,11100.2519,710541.3294,0.0165,131072.0000,16.0000,0.0847,141.6713,7.5758,141.6962,384,4
read,10036.7700,642366.9943,0.0186,131072.0000,16.0000,0.0736,156.7068,9.9762,156.7102,384,4
