access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,172059.3887,86239.5745,0.0175,131072.0000,2048.0000,0.0068,1.5199,0.4661,1.5236,64,0
read,237421.3630,119057.5407,0.0170,131072.0000,2048.0000,0.0062,1.1009,0.1424,1.1041,64,0
write,201788.1652,101145.2360,0.0164,131072.0000,2048.0000,0.0064,1.2959,0.2999,1.2991,64,1
read,237905.0787,119286.8369,0.0168,131072.0000,2048.0000,0.0061,1.0988,0.1312,1.1019,64,1
write,204540.4767,102527.2660,0.0157,131072.0000,2048.0000,0.0063,1.2784,0.3096,1.2816,64,2
read,245317.4050,123011.6546,0.0163,131072.0000,2048.0000,0.0061,1.0655,0.1146,1.0686,64,2
write,201330.0327,100909.4722,0.0156,131072.0000,2048.0000,0.0061,1.2989,0.3221,1.3021,64,3
read,215641.3812,108091.5982,0.0177,131072.0000,2048.0000,0.0060,1.2126,0.1171,1.2156,64,3
write,196059.4217,98261.4325,0.0163,131072.0000,2048.0000,0.0062,1.3339,0.3118,1.3371,64,4
read,244921.1700,122807.4031,0.0164,131072.0000,2048.0000,0.0060,1.0673,0.1237,1.0703,64,4
