access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,547150.1027,68561.4312,0.0625,131072.0000,8192.0000,0.0228,1.4338,0.4862,1.4373,192,0
read,539197.9584,67541.3861,0.0642,131072.0000,8192.0000,0.0254,1.4555,0.4567,1.4585,192,0
write,547539.1018,69357.3097,0.0614,131072.0000,8192.0000,0.0552,1.4174,0.4683,1.4363,192,1
read,564563.5634,70724.0922,0.0631,131072.0000,8192.0000,0.0443,1.3900,0.4072,1.3930,192,1
write,454137.9096,57589.0171,0.0950,131072.0000,8192.0000,0.0616,1.7070,0.2992,1.7317,192,2
read,529099.6744,66275.4587,0.0618,131072.0000,8192.0000,0.0412,1.4833,0.5031,1.4864,192,2
write,563875.0574,70763.9049,0.0622,131072.0000,8192.0000,0.0406,1.3892,0.4410,1.3947,192,3
read,576567.2480,72230.7331,0.0637,131072.0000,8192.0000,0.0305,1.3610,0.3613,1.3640,192,3
write,539216.3804,67910.9292,0.0635,131072.0000,8192.0000,0.0442,1.4475,0.4838,1.4585,192,4
read,555226.7406,69553.5044,0.0630,131072.0000,8192.0000,0.0342,1.4134,0.4324,1.4164,192,4
