access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,348610.2539,43717.8688,0.0594,131072.0000,8192.0000,0.0067,1.1243,0.2280,1.1280,96,0
read,397458.4716,49834.8447,0.0432,131072.0000,8192.0000,0.0060,0.9863,0.3062,0.9893,96,0
write,469529.0984,58921.4824,0.0409,131072.0000,8192.0000,0.0064,0.8342,0.2305,0.8375,96,1
read,412326.1378,51710.5238,0.0374,131072.0000,8192.0000,0.0062,0.9505,0.3575,0.9537,96,1
write,474404.5568,59525.0062,0.0412,131072.0000,8192.0000,0.0061,0.8257,0.2209,0.8289,96,2
read,416958.4418,52285.4066,0.0378,131072.0000,8192.0000,0.0059,0.9401,0.3534,0.9431,96,2
write,467804.1650,58697.0027,0.0371,131072.0000,8192.0000,0.0062,0.8374,0.2604,0.8406,96,3
read,416264.6099,52200.3994,0.0369,131072.0000,8192.0000,0.0060,0.9416,0.3563,0.9446,96,3
write,454306.1019,56992.1144,0.0414,131072.0000,8192.0000,0.0060,0.8624,0.2486,0.8655,96,4
read,405142.5953,50799.3217,0.0399,131072.0000,8192.0000,0.0059,0.9676,0.3752,0.9706,96,4
