access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,82990.4514,82994.8274,0.5143,131072.0000,1024.0000,0.0122,75.8054,15.2347,75.8094,1536,0
write,89126.2319,89130.5880,0.4910,131072.0000,1024.0000,0.0067,70.5869,10.1641,70.5904,1536,1
write,78253.2970,78256.8528,0.5632,131072.0000,1024.0000,0.0070,80.3950,13.2796,80.3986,1536,2
write,104964.2680,104970.6200,0.4338,131072.0000,1024.0000,0.0068,59.9354,10.6129,59.9390,1536,3
write,103576.6094,103585.1647,0.4593,131072.0000,1024.0000,0.0497,60.7370,10.1419,60.7421,1536,4
