access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,117899.3557,59080.1894,0.0251,131072.0000,2048.0000,0.0068,1.6639,0.0985,1.6676,48,0
read,137546.0331,68938.1485,0.0219,131072.0000,2048.0000,0.0065,1.4260,0.0290,1.4294,48,0
write,130605.9133,65450.6530,0.0224,131072.0000,2048.0000,0.0066,1.5020,0.0785,1.5054,48,1
read,160835.3502,80631.9622,0.0189,131072.0000,2048.0000,0.0063,1.2192,0.0337,1.2224,48,1
write,123780.8878,62028.6154,0.0237,131072.0000,2048.0000,0.0068,1.5848,0.0765,1.5884,48,2
read,161157.2755,80806.2144,0.0189,131072.0000,2048.0000,0.0067,1.2165,0.0318,1.2200,48,2
write,119415.5453,59836.3515,0.0249,131072.0000,2048.0000,0.0067,1.6429,0.0804,1.6464,48,3
read,153757.7218,77079.7666,0.0196,131072.0000,2048.0000,0.0065,1.2754,0.0314,1.2787,48,3
write,116938.0059,58596.0018,0.0256,131072.0000,2048.0000,0.0069,1.6777,0.0597,1.6813,48,4
read,163429.3716,81945.8838,0.0185,131072.0000,2048.0000,0.0066,1.1996,0.0278,1.2030,48,4
