access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,143998.3671,72155.7500,0.0264,131072.0000,2048.0000,0.0073,1.8165,0.1688,1.8205,64,0
read,191940.1404,96217.0792,0.0209,131072.0000,2048.0000,0.0068,1.3623,0.0353,1.3658,64,0
write,180193.5725,90305.3585,0.0221,131072.0000,2048.0000,0.0066,1.4514,0.0667,1.4548,64,1
read,218095.3186,109338.9086,0.0183,131072.0000,2048.0000,0.0063,1.1988,0.0294,1.2020,64,1
write,166606.5043,83482.6916,0.0230,131072.0000,2048.0000,0.0065,1.5701,0.1059,1.5734,64,2
read,199643.5738,100069.8641,0.0198,131072.0000,2048.0000,0.0064,1.3098,0.0504,1.3131,64,2
write,168388.1736,84388.7348,0.0232,131072.0000,2048.0000,0.0068,1.5532,0.0796,1.5568,64,3
read,196800.8217,98651.1828,0.0201,131072.0000,2048.0000,0.0066,1.3286,0.0426,1.3320,64,3
write,163410.5476,81874.7052,0.0242,131072.0000,2048.0000,0.0063,1.6009,0.0678,1.6042,64,4
read,219515.9336,110044.6787,0.0182,131072.0000,2048.0000,0.0061,1.1911,0.0296,1.1942,64,4
