access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,256813.2359,16136.3629,0.0914,131072.0000,16384.0000,0.0073,0.7615,0.0833,0.7656,48,0
read,312397.4676,19630.4644,0.0729,131072.0000,16384.0000,0.0066,0.6260,0.0580,0.6294,48,0
write,233434.6241,14650.0414,0.1005,131072.0000,16384.0000,0.0068,0.8388,0.0979,0.8422,48,1
read,335924.1757,21114.3096,0.0656,131072.0000,16384.0000,0.0065,0.5820,0.0664,0.5853,48,1
write,235806.5667,14799.8424,0.0983,131072.0000,16384.0000,0.0067,0.8303,0.1016,0.8338,48,2
read,339268.3199,21327.6667,0.0676,131072.0000,16384.0000,0.0065,0.5762,0.0436,0.5795,48,2
write,231931.9232,14554.0515,0.1015,131072.0000,16384.0000,0.0065,0.8443,0.0954,0.8477,48,3
read,353917.1658,22250.0659,0.0646,131072.0000,16384.0000,0.0064,0.5523,0.0353,0.5555,48,3
write,232899.0884,14614.3038,0.0994,131072.0000,16384.0000,0.0065,0.8408,0.1000,0.8442,48,4
read,347687.6390,21855.9033,0.0665,131072.0000,16384.0000,0.0063,0.5622,0.0395,0.5655,48,4
