access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,116492.8663,116686.2710,0.0168,131072.0000,1024.0000,0.0069,2.2466,0.2715,2.2503,64,0
read,191754.3916,192218.1456,0.0105,131072.0000,1024.0000,0.0065,1.3638,0.0280,1.3671,64,0
write,130941.8481,131175.4253,0.0152,131072.0000,1024.0000,0.0070,1.9984,0.0770,2.0020,64,1
read,153081.5325,153388.4151,0.0132,131072.0000,1024.0000,0.0067,1.7090,0.0441,1.7124,64,1
write,117016.1908,117203.9170,0.0170,131072.0000,1024.0000,0.0068,2.2366,0.1139,2.2402,64,2
read,168762.4963,169128.7566,0.0121,131072.0000,1024.0000,0.0066,1.5500,0.0283,1.5533,64,2
write,133266.5607,133497.3767,0.0150,131072.0000,1024.0000,0.0066,1.9637,0.0726,1.9671,64,3
read,174588.3130,174972.4181,0.0116,131072.0000,1024.0000,0.0064,1.4982,0.0239,1.5015,64,3
write,134738.9863,134976.2444,0.0146,131072.0000,1024.0000,0.0066,1.9421,0.1117,1.9456,64,4
read,154686.6068,154993.9346,0.0132,131072.0000,1024.0000,0.0065,1.6913,0.0193,1.6947,64,4
