access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,426555.2479,427292.7503,0.0169,131072.0000,1024.0000,0.0077,2.4540,0.3897,2.4582,256,0
read,510963.8236,511839.0342,0.0147,131072.0000,1024.0000,0.0069,2.0486,0.1689,2.0522,256,0
write,388916.4847,389405.9427,0.0172,131072.0000,1024.0000,0.0067,2.6928,0.5737,2.6961,256,1
read,463636.0543,464330.5930,0.0172,131072.0000,1024.0000,0.0066,2.2583,0.0838,2.2616,256,1
write,454837.4848,455530.2382,0.0177,131072.0000,1024.0000,0.0067,2.3019,0.1052,2.3054,256,2
read,513454.6354,514283.3752,0.0153,131072.0000,1024.0000,0.0065,2.0389,0.0847,2.0422,256,2
write,408428.1774,408962.2707,0.0177,131072.0000,1024.0000,0.0065,2.5640,0.4068,2.5673,256,3
read,498164.0178,498919.7007,0.0126,131072.0000,1024.0000,0.0063,2.1017,0.5017,2.1049,256,3
write,473219.9925,473956.6395,0.0172,131072.0000,1024.0000,0.0067,2.2124,0.1002,2.2158,256,4
read,544999.0621,545940.5086,0.0143,131072.0000,1024.0000,0.0065,1.9207,0.1874,1.9240,256,4
