access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,523992.2919,32806.2216,0.3381,131072.0000,16384.0000,0.0470,2.9965,0.6725,3.0017,384,0
read,158869.4378,9933.1174,1.2164,131072.0000,16384.0000,0.0074,9.8966,1.4972,9.9004,384,0
write,773946.6942,48458.8712,0.2267,131072.0000,16384.0000,0.0075,2.0286,0.4994,2.0323,384,1
read,170540.2602,10662.7562,1.1508,131072.0000,16384.0000,0.0068,9.2194,1.4638,9.2228,384,1
write,858653.2402,53777.1539,0.2105,131072.0000,16384.0000,0.0073,1.8280,0.3878,1.8318,384,2
read,183409.9354,11467.8453,0.9761,131072.0000,16384.0000,0.0071,8.5721,2.2708,8.5757,384,2
write,860814.5078,53905.2601,0.2068,131072.0000,16384.0000,0.0068,1.8236,0.4283,1.8272,384,3
read,184205.1433,11517.2147,1.0052,131072.0000,16384.0000,0.0071,8.5354,1.7657,8.5387,384,3
write,725560.0393,45416.4935,0.2361,131072.0000,16384.0000,0.0064,2.1645,0.6871,2.1678,384,4
read,213647.3645,13358.5670,0.9145,131072.0000,16384.0000,0.0064,7.3589,2.4901,7.3620,384,4
