access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,440948.9430,220965.0348,0.0492,131072.0000,2048.0000,0.0256,3.5591,0.9898,3.5670,384,0
read,464186.4138,232328.9833,0.0490,131072.0000,2048.0000,0.0069,3.3850,0.4313,3.3884,384,0
write,648592.4372,324780.2583,0.0377,131072.0000,2048.0000,0.0070,2.4214,0.3069,2.4250,384,1
read,542941.0888,271785.1281,0.0385,131072.0000,2048.0000,0.0066,2.8936,0.5787,2.8969,384,1
write,705499.9181,353292.0487,0.0344,131072.0000,2048.0000,0.0066,2.2260,0.3076,2.2294,384,2
read,582020.5602,291361.0000,0.0388,131072.0000,2048.0000,0.0065,2.6992,0.4170,2.7024,384,2
write,787013.5860,394185.9335,0.0297,131072.0000,2048.0000,0.0077,1.9951,0.2820,1.9985,384,3
read,416287.1733,208324.5893,0.0547,131072.0000,2048.0000,0.0064,3.7750,0.5143,3.7783,384,3
write,566889.7739,283791.0996,0.0389,131072.0000,2048.0000,0.0065,2.7712,0.8593,2.7745,384,4
read,438606.9034,219503.1079,0.0456,131072.0000,2048.0000,0.0064,3.5828,0.7820,3.5860,384,4
