access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,6426.6647,411342.7534,0.0050,131072.0000,16.0000,0.0066,40.7865,0.3614,40.7901,64,0
read,7445.1650,476534.1136,0.0043,131072.0000,16.0000,0.0063,35.2067,0.2634,35.2100,64,0
write,6325.6766,404876.5671,0.0051,131072.0000,16.0000,0.0067,41.4379,0.3450,41.4413,64,1
read,7332.0295,469293.3092,0.0043,131072.0000,16.0000,0.0065,35.7500,0.7986,35.7533,64,1
write,6375.0384,408036.5782,0.0050,131072.0000,16.0000,0.0067,41.1169,0.3120,41.1204,64,2
read,7356.8225,470881.1438,0.0043,131072.0000,16.0000,0.0066,35.6294,0.2769,35.6328,64,2
write,6412.8690,410455.8663,0.0050,131072.0000,16.0000,0.0062,40.8746,0.2829,40.8778,64,3
read,7416.5929,474704.1303,0.0043,131072.0000,16.0000,0.0062,35.3425,0.2777,35.3456,64,3
write,6327.1365,404971.3912,0.0050,131072.0000,16.0000,0.0067,41.4282,0.2971,41.4317,64,4
read,7447.1466,476661.6363,0.0043,131072.0000,16.0000,0.0064,35.1973,0.2585,35.2006,64,4
