access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,12959.5387,829497.0621,0.0049,131072.0000,16.0000,0.0074,40.4515,0.3795,40.4558,128,0
read,13937.9521,892108.5741,0.0043,131072.0000,16.0000,0.0066,37.6125,2.5659,37.6159,128,0
write,12981.7509,830902.9501,0.0049,131072.0000,16.0000,0.0067,40.3831,0.3435,40.3865,128,1
read,14018.6911,897275.6675,0.0043,131072.0000,16.0000,0.0065,37.3959,2.4642,37.3992,128,1
write,12934.0340,827854.6786,0.0049,131072.0000,16.0000,0.0071,40.5318,0.4375,40.5355,128,2
read,14438.0750,924138.1420,0.0043,131072.0000,16.0000,0.0073,36.3089,1.5284,36.3129,128,2
write,12989.0187,831373.5738,0.0049,131072.0000,16.0000,0.0070,40.3602,0.3383,40.3639,128,3
read,13978.5106,894707.3148,0.0043,131072.0000,16.0000,0.0067,37.5032,2.3542,37.5067,128,3
write,12982.6583,830964.7847,0.0049,131072.0000,16.0000,0.0068,40.3801,0.2995,40.3837,128,4
read,14165.9603,906704.9791,0.0043,131072.0000,16.0000,0.0066,37.0070,1.8877,37.0104,128,4
