access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,533438.5941,33481.8689,0.1090,131072.0000,16384.0000,0.0075,0.9787,0.1290,0.9828,128,0
read,155223.7320,9711.8431,0.3799,131072.0000,16384.0000,0.0069,3.3740,1.0368,3.3776,128,0
write,541945.6989,33995.4012,0.1155,131072.0000,16384.0000,0.0068,0.9639,0.0970,0.9674,128,1
read,180545.2932,11297.0902,0.3096,131072.0000,16384.0000,0.0065,2.9006,0.7363,2.9039,128,1
write,542412.6317,34020.9240,0.1163,131072.0000,16384.0000,0.0065,0.9632,0.0856,0.9666,128,2
read,204319.6808,12786.2345,0.2974,131072.0000,16384.0000,0.0063,2.5628,0.8758,2.5660,128,2
write,547318.0593,34333.3532,0.1161,131072.0000,16384.0000,0.0066,0.9544,0.0902,0.9579,128,3
read,181397.0174,11350.3439,0.2854,131072.0000,16384.0000,0.0064,2.8870,1.0724,2.8903,128,3
write,548153.9709,34385.8888,0.1142,131072.0000,16384.0000,0.0066,0.9529,0.0894,0.9565,128,4
read,185263.9976,11592.8247,0.3381,131072.0000,16384.0000,0.0065,2.8266,1.2523,2.8300,128,4
