access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,25728.6326,1646929.3360,0.0050,131072.0000,16.0000,0.0107,40.7479,0.4641,40.7552,256,0
read,27593.8852,1766172.1124,0.0044,131072.0000,16.0000,0.0069,37.9968,1.8252,38.0003,256,0
write,26259.3291,1680740.2114,0.0049,131072.0000,16.0000,0.0066,39.9282,0.3748,39.9316,256,1
read,27587.2405,1765734.9278,0.0046,131072.0000,16.0000,0.0063,38.0062,2.0789,38.0095,256,1
write,26228.1763,1678748.3680,0.0049,131072.0000,16.0000,0.0066,39.9755,0.4299,39.9790,256,2
read,27650.5880,1769794.9099,0.0044,131072.0000,16.0000,0.0065,37.9190,1.8017,37.9224,256,2
write,26218.5589,1678124.9770,0.0048,131072.0000,16.0000,0.0062,39.9904,0.4420,39.9937,256,3
read,27940.6965,1788354.2483,0.0044,131072.0000,16.0000,0.0061,37.5255,1.7955,37.5286,256,3
write,25401.1068,1625798.0466,0.0049,131072.0000,16.0000,0.0063,41.2775,1.7205,41.2807,256,4
read,27434.9292,1755978.9440,0.0044,131072.0000,16.0000,0.0062,38.2174,2.4460,38.2205,256,4
