access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,207445.4151,207807.2770,0.0182,131072.0000,1024.0000,0.0077,2.5230,0.2313,2.5274,128,0
read,373551.4216,374488.5332,0.0107,131072.0000,1024.0000,0.0069,1.4000,0.0303,1.4035,128,0
write,265038.4857,265513.6392,0.0150,131072.0000,1024.0000,0.0069,1.9746,0.0644,1.9782,128,1
read,325778.0377,326471.0685,0.0122,131072.0000,1024.0000,0.0076,1.6059,0.0595,1.6093,128,1
write,222310.7963,222651.2446,0.0177,131072.0000,1024.0000,0.0069,2.3547,0.1128,2.3584,128,2
read,285345.2629,285914.5294,0.0142,131072.0000,1024.0000,0.0070,1.8337,0.0326,1.8374,128,2
write,249101.4212,249508.2794,0.0156,131072.0000,1024.0000,0.0066,2.1013,0.1493,2.1047,128,3
read,382143.2808,383071.1276,0.0104,131072.0000,1024.0000,0.0065,1.3686,0.0480,1.3720,128,3
write,249226.3474,249648.4643,0.0158,131072.0000,1024.0000,0.0069,2.1001,0.1100,2.1037,128,4
read,373172.2779,374093.0391,0.0108,131072.0000,1024.0000,0.0068,1.4015,0.0419,1.4049,128,4
