access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,271522.0975,136052.4094,0.0287,131072.0000,2048.0000,0.0074,1.9268,0.1974,1.9309,128,0
read,372738.4862,186824.7115,0.0209,131072.0000,2048.0000,0.0066,1.4032,0.0690,1.4066,128,0
write,304519.5760,152567.3826,0.0264,131072.0000,2048.0000,0.0066,1.7182,0.0569,1.7217,128,1
read,377109.7094,188996.9085,0.0209,131072.0000,2048.0000,0.0063,1.3870,0.0595,1.3903,128,1
write,337370.9912,169044.1179,0.0222,131072.0000,2048.0000,0.0063,1.5507,0.1683,1.5540,128,2
read,357997.9054,179387.5124,0.0224,131072.0000,2048.0000,0.0061,1.4613,0.0447,1.4645,128,2
write,320124.6443,160422.8798,0.0251,131072.0000,2048.0000,0.0070,1.6341,0.0627,1.6378,128,3
read,378353.5952,189661.0593,0.0211,131072.0000,2048.0000,0.0068,1.3822,0.0511,1.3857,128,3
write,318090.1795,159394.3958,0.0249,131072.0000,2048.0000,0.0069,1.6446,0.0833,1.6482,128,4
read,368761.9281,184840.3947,0.0218,131072.0000,2048.0000,0.0068,1.4182,0.0393,1.4218,128,4
