access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,309747.9357,19450.7875,0.1000,131072.0000,16384.0000,0.0071,0.8423,0.0878,0.8463,64,0
read,426354.3647,26790.1014,0.0678,131072.0000,16384.0000,0.0063,0.6116,0.0760,0.6149,64,0
write,296469.5629,18602.4547,0.1070,131072.0000,16384.0000,0.0068,0.8807,0.0648,0.8842,64,1
read,424175.1540,26653.1319,0.0701,131072.0000,16384.0000,0.0064,0.6147,0.0647,0.6180,64,1
write,306895.8097,19254.2984,0.0997,131072.0000,16384.0000,0.0062,0.8509,0.1033,0.8542,64,2
read,444869.9403,27951.0287,0.0647,131072.0000,16384.0000,0.0060,0.5862,0.0744,0.5893,64,2
write,308532.0422,19365.3070,0.0973,131072.0000,16384.0000,0.0069,0.8460,0.0816,0.8496,64,3
read,441183.2606,27736.3528,0.0665,131072.0000,16384.0000,0.0068,0.5907,0.0689,0.5942,64,3
write,310513.2629,19483.6114,0.0958,131072.0000,16384.0000,0.0064,0.8409,0.0930,0.8442,64,4
read,438235.2431,27535.9014,0.0652,131072.0000,16384.0000,0.0062,0.5950,0.0737,0.5982,64,4
