access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,45177.5918,22624.7314,0.0298,131072.0000,2048.0000,0.0096,2.1725,1.0989,2.1759,24,0
write,44172.3971,22118.3610,0.0290,131072.0000,2048.0000,0.0118,2.2222,1.2142,2.2255,24,1
write,46269.7596,23169.5178,0.0292,131072.0000,2048.0000,0.0144,2.1214,1.1371,2.1246,24,2
write,45549.3650,22809.1782,0.0305,131072.0000,2048.0000,0.0136,2.1549,1.1077,2.1582,24,3
write,48329.5016,24203.9845,0.0281,131072.0000,2048.0000,0.0181,2.0307,1.0540,2.0340,24,4
