access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,63626.4174,3982.3175,0.1747,131072.0000,16384.0000,0.0174,2.5714,1.7371,2.5750,40,0
write,63601.0252,3980.0347,0.1695,131072.0000,16384.0000,0.0142,2.5728,1.7400,2.5761,40,1
write,64097.7770,4011.0162,0.1744,131072.0000,16384.0000,0.0179,2.5530,1.6360,2.5561,40,2
write,64906.7442,4061.9895,0.1715,131072.0000,16384.0000,0.0179,2.5209,1.6869,2.5242,40,3
write,65681.9933,4110.5826,0.1690,131072.0000,16384.0000,0.0154,2.4911,1.6415,2.4944,40,4
