access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,48800.9703,6132.4349,0.0417,131072.0000,8192.0000,0.0066,0.6679,0.0485,0.6715,8,0
write,52250.9057,6562.9985,0.0379,131072.0000,8192.0000,0.0059,0.6241,0.0694,0.6271,8,1
write,55781.8749,7009.4364,0.0361,131072.0000,8192.0000,0.0059,0.5844,0.0753,0.5874,8,2
write,53218.9103,6685.7079,0.0383,131072.0000,8192.0000,0.0059,0.6127,0.0732,0.6157,8,3
write,55275.9954,6947.9527,0.0360,131072.0000,8192.0000,0.0064,0.5895,0.0838,0.5928,8,4
