access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,20640.2194,20651.9437,0.0292,131072.0000,1024.0000,0.0167,6.3467,4.7029,6.3503,32,0
write,21312.3366,21323.3102,0.0301,131072.0000,1024.0000,0.0136,6.1469,4.3627,6.1501,32,1
write,22324.4528,22336.7760,0.0281,131072.0000,1024.0000,0.0687,5.8680,4.2665,5.8712,32,2
write,22692.6078,22704.8673,0.0272,131072.0000,1024.0000,0.0237,5.7729,4.1536,5.7760,32,3
write,22328.4315,22340.4922,0.0277,131072.0000,1024.0000,0.1177,5.8670,4.2609,5.8702,32,4
