access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,1352.4784,86562.9825,0.0089,131072.0000,16.0000,0.0188,72.6807,37.4724,72.6843,24,0
write,1362.4273,87199.1659,0.0088,131072.0000,16.0000,0.0173,72.1504,36.8360,72.1536,24,1
write,1325.0449,84806.5478,0.0091,131072.0000,16.0000,0.0162,74.1860,38.8449,74.1892,24,2
write,1353.4610,86625.2716,0.0089,131072.0000,16.0000,0.0204,72.6284,37.1943,72.6316,24,3
write,1353.2164,86609.7761,0.0088,131072.0000,16.0000,0.0233,72.6414,37.0897,72.6447,24,4
