access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,25198.4417,12632.3543,0.0174,131072.0000,2048.0000,0.0063,1.2970,0.2234,1.3004,8,0
write,26081.1557,13073.4198,0.0158,131072.0000,2048.0000,0.0060,1.2532,0.2705,1.2564,8,1
write,26336.1983,13202.4903,0.0156,131072.0000,2048.0000,0.0062,1.2410,0.2718,1.2442,8,2
write,25643.0310,12851.8990,0.0154,131072.0000,2048.0000,0.0058,1.2748,0.3174,1.2779,8,3
write,26703.7629,13384.2863,0.0155,131072.0000,2048.0000,0.0057,1.2241,0.2655,1.2271,8,4
